order_id,customer_name,city,state,order_date,total_units,revenue,product_name,category_name,store_name,sales_staff
599,"Debra Burks","Orchard Park",NY,2016-12-09,2,5999.98,"Trek Conduit+ - 2016","Electric Bikes","Baldwin Bikes","Marcelene Boyer"
599,"Debra Burks","Orchard Park",NY,2016-12-09,2,539.98,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
599,"Debra Burks","Orchard Park",NY,2016-12-09,1,299.99,"Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
599,"Debra Burks","Orchard Park",NY,2016-12-09,2,3098.00,"Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer"
1555,"Debra Burks","Orchard Park",NY,2018-04-18,2,1099.98,"Electra Townie Original 21D - 2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel"
1555,"Debra Burks","Orchard Park",NY,2018-04-18,1,6499.99,"Trek Domane SL Frameset - 2018","Road Bikes","Baldwin Bikes","Venita Daniel"
1555,"Debra Burks","Orchard Park",NY,2018-04-18,1,469.99,"Surly Big Fat Dummy Frameset - 2018","Mountain Bikes","Baldwin Bikes","Venita Daniel"
1555,"Debra Burks","Orchard Park",NY,2018-04-18,2,3798.00,"Surly ECR 27.5 - 2018","Mountain Bikes","Baldwin Bikes","Venita Daniel"
1555,"Debra Burks","Orchard Park",NY,2018-04-18,1,3199.99,"Trek Domane SLR Disc Frameset - 2018","Road Bikes","Baldwin Bikes","Venita Daniel"
1613,"Debra Burks","Orchard Park",NY,2018-11-18,1,4999.99,"Trek Domane SL 7 Women's - 2018","Road Bikes","Baldwin Bikes","Marcelene Boyer"
1613,"Debra Burks","Orchard Park",NY,2018-11-18,2,639.98,"Electra Heartchya 1 (20-inch) - Girl's - 2018","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
692,"Kasha Todd",Campbell,CA,2017-02-05,1,2599.99,"Trek Domane S 5 Disc - 2017","Road Bikes","Santa Cruz Bikes","Genna Serrano"
692,"Kasha Todd",Campbell,CA,2017-02-05,1,599.99,"Electra Cruiser Lux Fat Tire 1 Ladies - 2017","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
692,"Kasha Todd",Campbell,CA,2017-02-05,2,1059.98,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
692,"Kasha Todd",Campbell,CA,2017-02-05,2,10999.98,"Trek Domane SLR 6 Disc - 2017","Road Bikes","Santa Cruz Bikes","Genna Serrano"
1084,"Kasha Todd",Campbell,CA,2017-08-21,1,999.99,"Surly Ice Cream Truck Frameset - 2017","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
1084,"Kasha Todd",Campbell,CA,2017-08-21,1,659.99,"Electra Amsterdam Original 3i - 2015/2017","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
1084,"Kasha Todd",Campbell,CA,2017-08-21,2,979.98,"Electra Straight 8 3i (20-inch) - Boy's - 2017","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
1084,"Kasha Todd",Campbell,CA,2017-08-21,2,693.98,"Sun Bicycles Lil Bolt Type-R - 2017","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
1084,"Kasha Todd",Campbell,CA,2017-08-21,1,1559.99,"Sun Bicycles ElectroLite - 2017","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
1468,"Tameka Fisher","Redondo Beach",CA,2018-03-27,1,199.99,"Trek Precaliber 12 Boy's - 2018","Children Bicycles","Santa Cruz Bikes","Mireya Copeland"
1468,"Tameka Fisher","Redondo Beach",CA,2018-03-27,1,4999.99,"Trek Madone 9.2 - 2017","Road Bikes","Santa Cruz Bikes","Mireya Copeland"
1468,"Tameka Fisher","Redondo Beach",CA,2018-03-27,2,11999.98,"Trek Silque SLR 7 Women's - 2017","Road Bikes","Santa Cruz Bikes","Mireya Copeland"
1496,"Tameka Fisher","Redondo Beach",CA,2018-04-06,1,599.99,"Electra Townie Original 7D EQ Ladies' - 2017/2018","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
1496,"Tameka Fisher","Redondo Beach",CA,2018-04-06,1,449.99,"Electra Townie Original 1 - 2018","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
1612,"Tameka Fisher","Redondo Beach",CA,2018-10-21,1,699.99,"Electra Townie Commute 8D Ladies' - 2018","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
1612,"Tameka Fisher","Redondo Beach",CA,2018-10-21,2,639.98,"Electra Superbolt 1 20" - 2018","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
1612,"Tameka Fisher","Redondo Beach",CA,2018-10-21,2,679.98,"Electra Townie 7D (20-inch) - Boys' - 2017","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
1612,"Tameka Fisher","Redondo Beach",CA,2018-10-21,2,639.98,"Electra Tiger Shark 1 (20-inch) - Boys' - 2018","Children Bicycles","Santa Cruz Bikes","Genna Serrano"
1612,"Tameka Fisher","Redondo Beach",CA,2018-10-21,1,1559.99,"Sun Bicycles ElectroLite - 2017","Electric Bikes","Santa Cruz Bikes","Genna Serrano"
700,"Daryl Spence",Uniondale,NY,2017-02-07,2,7999.98,"Trek Slash 8 27.5 - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
700,"Daryl Spence",Uniondale,NY,2017-02-07,1,3499.99,"Trek Boone Race Shop Limited - 2017","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer"
1259,"Daryl Spence",Uniondale,NY,2017-11-21,1,1559.99,"Sun Bicycles ElectroLite - 2017","Electric Bikes","Baldwin Bikes","Venita Daniel"
1259,"Daryl Spence",Uniondale,NY,2017-11-21,1,449.00,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
1556,"Daryl Spence",Uniondale,NY,2018-04-18,2,6999.98,"Trek Domane SL 6 - 2017","Road Bikes","Baldwin Bikes","Marcelene Boyer"
1556,"Daryl Spence",Uniondale,NY,2018-04-18,1,659.99,"Electra Amsterdam Original 3i Ladies' - 2017","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
1556,"Daryl Spence",Uniondale,NY,2018-04-18,1,289.99,"Strider Strider 20 Sport - 2018","Children Bicycles","Baldwin Bikes","Marcelene Boyer"
1556,"Daryl Spence",Uniondale,NY,2018-04-18,2,939.98,"Trek Kids' Neko - 2018","Mountain Bikes","Baldwin Bikes","Marcelene Boyer"
1556,"Daryl Spence",Uniondale,NY,2018-04-18,2,1799.98,"Electra Koa 3i Ladies' - 2018","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
264,"Charolette Rice",Sacramento,CA,2016-06-10,1,1549.00,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano"
264,"Charolette Rice",Sacramento,CA,2016-06-10,2,1099.98,"Electra Townie Original 21D - 2016","Comfort Bicycles","Santa Cruz Bikes","Genna Serrano"
264,"Charolette Rice",Sacramento,CA,2016-06-10,2,1059.98,"Electra Moto 1 - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano"
264,"Charolette Rice",Sacramento,CA,2016-06-10,2,1999.98,"Surly Wednesday Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
571,"Charolette Rice",Sacramento,CA,2016-11-24,1,2899.99,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
571,"Charolette Rice",Sacramento,CA,2016-11-24,1,2999.99,"Trek Conduit+ - 2016","Electric Bikes","Santa Cruz Bikes","Mireya Copeland"
